,date,Month,E01Temp,E02Temp,E03Temp,E04Temp,E05Temp,E06Temp,E07Temp,E08Temp,E09Temp
125,05/05/2017,May,8.609748183,8.132500827,7.805829918,9.384700544,9.434269698,8.92213408,10.31923467,9.138803169,9.399660511
126,06/05/2017,May,8.141082015,7.789352817,7.66213322,8.28710696,7.931917927,7.713507399,8.626351234,7.412285611,7.502060062
127,07/05/2017,May,7.336136506,8.66577193,7.444333792,7.707197956,8.029333877,8.004024967,8.625835799,7.513819373,6.920661851
128,08/05/2017,May,7.742619465,8.481370306,7.446334109,8.717432304,8.081904813,7.722038272,8.343847511,7.229197002,7.163432662
129,09/05/2017,May,7.815471265,9.394107856,8.819857291,9.706671693,9.375576486,8.54681823,9.380645211,8.333645798,8.67344778
130,10/05/2017,May,8.613558927,9.079399756,9.59346861,9.979611677,9.586387986,9.198760488,10.25423148,9.27002283,9.967905899
131,11/05/2017,May,9.893209754,8.556844841,8.389440887,9.859670269,9.916288145,8.840965504,10.83653461,9.677336713,10.28767702
132,12/05/2017,May,10.78100183,10.02118118,9.430992349,10.41518101,10.15995149,10.42745092,10.95788066,9.690874393,9.581532631
133,13/05/2017,May,11.51207336,12.37266969,12.25690195,12.89205301,13.03451017,12.50520992,13.18583786,12.22880769,11.7822766
134,14/05/2017,May,11.64215838,13.82793813,13.16050214,13.38295073,13.47765333,13.00400474,13.57035971,12.45722231,12.62330681
135,15/05/2017,May,10.98682544,12.28310018,11.51430101,11.49570017,11.01974585,10.55960376,11.74837632,10.6499938,11.59888857
136,16/05/2017,May,13.06621571,14.98746244,14.3543184,14.35680716,14.79878358,14.41104063,14.93917093,13.72493046,13.55214817
137,17/05/2017,May,10.78612286,12.68526907,12.03529811,11.91377601,12.22255448,12.26039316,12.31579751,11.33599993,11.36001857
138,18/05/2017,May,9.270430184,11.59111712,10.58212107,10.94370187,11.04457943,11.31775287,11.62394312,10.50861094,10.89220705
139,19/05/2017,May,9.132050171,9.946023339,8.863152145,10.32189606,10.5505155,10.2368873,10.68482359,9.784042771,9.648655673
140,20/05/2017,May,9.443727757,10.50800526,10.1365346,11.28706571,11.33947347,10.79657376,11.00452353,9.84145444,9.828356783
141,21/05/2017,May,10.95659737,10.20486163,10.51114974,11.66090759,11.468806,11.0651897,12.23222354,10.94703503,12.05275994
142,22/05/2017,May,14.04567005,12.28995653,12.44201714,14.49445773,14.81388867,14.19073966,15.29824062,14.10227957,14.91239081
143,23/05/2017,May,12.56046599,13.78070801,13.36871305,13.77481766,14.54809277,14.58949785,14.98288355,14.03551615,14.34488847
144,24/05/2017,May,15.94935038,17.61134174,17.36910704,18.12248952,18.18908413,17.55601366,17.30332207,16.64252621,15.97052015
145,25/05/2017,May,17.79007029,16.52175665,15.99082713,17.75342897,17.68675238,16.82579777,18.29630328,17.2387664,17.78500193
146,26/05/2017,May,19.27838549,17.06063535,18.11467961,18.88873384,18.60712828,17.40462929,19.18659732,17.97785989,18.68946036
147,27/05/2017,May,18.45854695,14.13805135,15.13382749,17.30825894,17.97482112,17.54096165,17.93703362,17.07578073,17.484391
148,28/05/2017,May,15.16571182,17.26947145,16.61432502,17.097508,17.40201625,16.97774611,16.02777905,15.37604092,14.17839279
149,29/05/2017,May,12.29713633,13.64365053,13.42890289,13.4059242,13.31322334,12.92897139,13.46029961,12.49361958,12.26168004
150,30/05/2017,May,13.37007559,14.8471846,14.45370168,15.03488548,15.2444405,14.74664148,15.17446857,14.16163061,13.9285143
151,31/05/2017,May,11.478714,11.87754122,11.49585163,12.7289386,12.82927806,12.53680826,13.39233515,12.385213,13.57959036
152,01/06/2017,June,14.73913145,15.44294226,15.58753348,16.79180253,16.93191081,16.3056451,17.77837072,16.55789763,17.16442008
153,02/06/2017,June,13.87994854,16.19056808,15.5616982,15.7950921,15.49272123,15.157732,15.35202404,14.45493512,14.16818262
154,03/06/2017,June,10.79314611,13.19967954,12.36989005,13.55388895,14.66246969,14.60831921,13.84330731,13.34931552,12.7816163
